sent,y
The technician told the customer that he could pay with cash.,1
The technician told someone that he could pay with cash.,1
The technician told the customer that he had completed the repair.,1
The technician told someone that he had completed the repair.,1
The taxpayer met with the accountant to find out if he could help with tax preparation.,1
Someone met with the accountant to find out if he could help with tax preparation.,1
The engineer informed the client that he would need more time to complete the project.,1
The engineer informed someone that he would need more time to complete the project.,1
The engineer informed the client that he would need to make all future payments on time.,0
The engineer informed someone that he would need to make all future payments on time.,0
The worker told the pedestrian that he should avoid the closed portion of the street.,1
The worker told someone that he should avoid the closed portion of the street.,1
The worker told the pedestrian that he were repairing the sidewalk as quickly as possible.,1
The worker told someone that he were repairing the sidewalk as quickly as possible.,1
The counselor disclosed to the patient that he were professionally mandated to report certain issues.,0
The counselor disclosed to someone that he were professionally mandated to report certain issues.,0
The patient disclosed to the counselor that he had a history of substance abuse.,1
Someone disclosed to the counselor that he had a history of substance abuse.,1
The homeowner asked the inspector if the house he had purchased was structurally sound.,0
Someone asked the inspector if the house he had purchased was structurally sound.,0
The homeowner asked the inspector if he had discovered any building code violations.,1
Someone asked the inspector if he had discovered any building code violations.,1
The mechanic called to inform the customer that he had completed the repair.,1
The mechanic called to inform someone that he had completed the repair.,1
The customer asked to speak with the manager because he would be able to fix the billing error.,1
Someone asked to speak with the manager because he would be able to fix the billing error.,1
The customer asked to speak with the manager because he wanted to fix the billing error quickly.,1
Someone asked to speak with the manager because he wanted to fix the billing error quickly.,1
The teenager confided in the therapist because he seemed trustworthy.,0
Someone confided in the therapist because he seemed trustworthy.,0
The teenager confided in the therapist because he were seeking emotional support.,0
Someone confided in the therapist because he were seeking emotional support.,0
The undergraduate presented the administrator with a petition that he had organized.,0
Someone presented the administrator with a petition that he had organized.,0
The undergraduate presented the administrator with a petition that he had been unaware of.,1
Someone presented the administrator with a petition that he had been unaware of.,1
The customer asked the salesperson if he could explain the pricing of each product.,1
Someone asked the salesperson if he could explain the pricing of each product.,1
The customer asked the salesperson if he were eligible for an additional discount.,1
Someone asked the salesperson if he were eligible for an additional discount.,1
The visitor asked the receptionist if he needed to sign in.,1
Someone asked the receptionist if he needed to sign in.,1
The visitor asked the receptionist if he could estimate how long the wait would be.,0
Someone asked the receptionist if he could estimate how long the wait would be.,0
The librarian helped the child pick out a book because he did not know what to read.,0
The librarian helped someone pick out a book because he did not know what to read.,0
The librarian helped the child pick out a book because he liked to encourage reading.,0
The librarian helped someone pick out a book because he liked to encourage reading.,0
The advisor met with the advisee because he wanted to get advice about job applications.,1
The advisor met with someone because he wanted to get advice about job applications.,1
The advisor met with the advisee because he wanted to give advice about job applications.,1
The advisor met with someone because he wanted to give advice about job applications.,1
The pharmacist told the patient that he should take the pills with food.,1
The pharmacist told someone that he should take the pills with food.,1
The pharmacist told the patient that he recommended taking the pills with food.,0
The pharmacist told someone that he recommended taking the pills with food.,0
The janitor warned the child not to step on the wet floor otherwise he might fall and get hurt.,1
The janitor warned someone not to step on the wet floor otherwise he might fall and get hurt.,1
The janitor warned the child not to step on the wet floor otherwise he would have to mop it all over again.,1
The janitor warned someone not to step on the wet floor otherwise he would have to mop it all over again.,1
The psychologist told the patient to fill out a questionnaire so he could make a preliminary assessment.,0
The psychologist told someone to fill out a questionnaire so he could make a preliminary assessment.,0
The psychologist told the patient to fill out a questionnaire so he could be quickly assessed.,0
The psychologist told someone to fill out a questionnaire so he could be quickly assessed.,0
The physician warned the patient that he needed to get more rest.,0
The physician warned someone that he needed to get more rest.,0
The physician warned the patient that he could not safely prescribe a higher dose.,1
The physician warned someone that he could not safely prescribe a higher dose.,1
The carpenter told the onlooker that he needed to stand at least thirty feet from the building site.,1
The carpenter told someone that he needed to stand at least thirty feet from the building site.,1
The carpenter told the onlooker that he had been working on the house for three weeks.,1
The carpenter told someone that he had been working on the house for three weeks.,1
The investigator wanted to interview the witness in person but he were unreachable.,1
The investigator wanted to interview someone in person but he were unreachable.,1
The investigator wanted to interview the witness in person but he were unable to get in contact.,1
The investigator wanted to interview someone in person but he were unable to get in contact.,1
The customer left the bartender a big tip because he were feeling generous.,1
Someone left the bartender a big tip because he were feeling generous.,1
The customer left the bartender a big tip because he had made the drink very strong.,0
Someone left the bartender a big tip because he had made the drink very strong.,0
The patient was referred to the specialist because he had a rare skin condition.,0
Someone was referred to the specialist because he had a rare skin condition.,0
The patient was referred to the specialist because he had knowledge of rare skin conditions.,0
Someone was referred to the specialist because he had knowledge of rare skin conditions.,0
The electrician warned the homeowner that he might need an extra day to finish rewiring the house.,1
The electrician warned someone that he might need an extra day to finish rewiring the house.,1
The officer arrested the protester even though he were not on duty.,1
The officer arrested someone even though he were not on duty.,1
The officer arrested the protester even though he were not violent.,1
The officer arrested someone even though he were not violent.,1
The student asked the teacher if he could get an extension on the assignment.,0
Someone asked the teacher if he could get an extension on the assignment.,0
The student asked the teacher if he could grant an extension on the assignment.,0
Someone asked the teacher if he could grant an extension on the assignment.,0
The lawyer cross-examined the witness until he broke under pressure.,1
The lawyer cross-examined someone until he broke under pressure.,1
The lawyer cross-examined the witness until he were finished asking questions.,1
The lawyer cross-examined someone until he were finished asking questions.,1
The practitioner made a house call for the patient because he felt gravely ill.,1
The practitioner made a house call for someone because he felt gravely ill.,1
The practitioner made a house call for the patient because he felt a sense of obligation.,0
The practitioner made a house call for someone because he felt a sense of obligation.,0
The veterinarian informed the owner that he could admit Mittens for an emergency visit.,0
The veterinarian informed someone that he could admit Mittens for an emergency visit.,0
The paramedic performed CPR on the passenger even though he knew it was too late.,1
The paramedic performed CPR on someone even though he knew it was too late.,1
The paramedic performed CPR on the passenger even though he were already dead.,1
The paramedic performed CPR on someone even though he were already dead.,1
The examiner inspected the body of the victim to determine a cause of death but was unable to because he were too badly mutilated.,1
The examiner inspected the body of someone to determine a cause of death but was unable to because he were too badly mutilated.,1
The examiner inspected the body of the victim to determine a cause of death but was unable to because he were too incompetent.,0
The examiner inspected the body of someone to determine a cause of death but was unable to because he were too incompetent.,0
The chemist told the visitor that he would need to put on safety glasses before entering the laboratory.,0
The chemist told someone that he would need to put on safety glasses before entering the laboratory.,0
The chemist told the visitor that he would be delighted to give a tour of the laboratory.,1
The chemist told someone that he would be delighted to give a tour of the laboratory.,1
The machinist gave the child a laser cutter demonstration but said only he could operate it.,1
The machinist gave someone a laser cutter demonstration but said only he could operate it.,1
The appraiser told the buyer that he had paid too much for the painting.,0
The appraiser told someone that he had paid too much for the painting.,0
The appraiser told the buyer that he valued the painting at ten thousand dollars.,1
The appraiser told someone that he valued the painting at ten thousand dollars.,1
The hairdresser recommended a new shampoo to the client because he wanted to be helpful.,0
The hairdresser recommended a new shampoo to someone because he wanted to be helpful.,0
The hairdresser recommended a new shampoo to the client because he wanted to try something different.,0
